SPDR S&P 500 ETF Trust,Last: 497.71,Change:  -0.39
Feb 8 2024 at 11:23 AM EST,497.7,497.71,Size: 17*14,Volume: 10,598,673
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Feb 08 2024,SPY240208C00438000,0,0,59.54,59.9,0,1.5941,0.9991,0.0001,0,438.00,SPY240208P00438000,0.02,0,0,0.01,0,1.6697,-0.0009,0.0001,6
Thu Feb 08 2024,SPY240208C00439000,0,0,58.54,58.9,0,1.566,0.9991,0.0001,0,439.00,SPY240208P00439000,0.01,0,0,0.01,0,1.6422,-0.0009,0.0001,83
Thu Feb 08 2024,SPY240208C00440000,53.02,0,57.54,57.9,0,1.538,0.9991,0.0002,1,440.00,SPY240208P00440000,0.01,0,0,0.01,0,1.6146,-0.0009,0.0002,35
Thu Feb 08 2024,SPY240208C00441000,0,0,56.54,56.91,0,1.51,0.9991,0.0002,0,441.00,SPY240208P00441000,0.09,0,0,0.01,0,1.5872,-0.0009,0.0002,5
Thu Feb 08 2024,SPY240208C00442000,0,0,55.54,55.91,0,1.4822,0.999,0.0002,0,442.00,SPY240208P00442000,0.03,0,0,0.01,0,1.5597,-0.001,0.0002,3
Thu Feb 08 2024,SPY240208C00443000,45.13,0,54.54,54.91,0,1.4544,0.999,0.0002,10,443.00,SPY240208P00443000,0.03,0,0,0.01,0,1.5322,-0.001,0.0002,23
Thu Feb 08 2024,SPY240208C00444000,0,0,53.54,53.91,0,1.4266,0.999,0.0002,0,444.00,SPY240208P00444000,0.03,0,0,0.01,0,1.5048,-0.001,0.0002,3
Thu Feb 08 2024,SPY240208C00445000,53.21,0,52.54,52.91,0,1.3989,0.999,0.0002,1,445.00,SPY240208P00445000,0,0,0,0.01,0,1.4775,-0.001,0.0002,0
Thu Feb 08 2024,SPY240208C00446000,0,0,51.54,51.91,0,1.3713,0.999,0.0002,0,446.00,SPY240208P00446000,0.05,0,0,0.01,0,1.4501,-0.001,0.0002,6
Thu Feb 08 2024,SPY240208C00447000,0,0,50.54,50.91,0,1.3437,0.9989,0.0002,0,447.00,SPY240208P00447000,0.04,0,0,0.01,0,1.4228,-0.0011,0.0002,82
Thu Feb 08 2024,SPY240208C00448000,0,0,49.54,49.91,0,1.3162,0.9989,0.0002,0,448.00,SPY240208P00448000,0.01,0,0,0.01,0,1.3955,-0.0011,0.0002,1
Thu Feb 08 2024,SPY240208C00449000,48.98,0,48.54,48.91,0,1.2888,0.9989,0.0002,60,449.00,SPY240208P00449000,0.01,0,0,0.01,0,1.3682,-0.0011,0.0002,6714
Thu Feb 08 2024,SPY240208C00450000,47.91,-0.305,47.54,47.91,3,1.2614,0.9989,0.0002,384,450.00,SPY240208P00450000,0.03,0,0,0.01,0,1.341,-0.0011,0.0002,83
Thu Feb 08 2024,SPY240208C00451000,45.29,0,46.54,46.91,0,1.234,0.9988,0.0002,1,451.00,SPY240208P00451000,0.01,0,0,0.01,0,1.3138,-0.0012,0.0002,4300
Thu Feb 08 2024,SPY240208C00452000,45.43,0,45.55,45.91,0,1.3277,0.9988,0.0002,67,452.00,SPY240208P00452000,0.01,0,0,0.01,0,1.2866,-0.0012,0.0002,242
Thu Feb 08 2024,SPY240208C00453000,44.71,-0.505,44.55,44.91,134,1.2992,0.9988,0.0003,0,453.00,SPY240208P00453000,0.01,0,0,0.01,0,1.2594,-0.0012,0.0003,10
Thu Feb 08 2024,SPY240208C00454000,0,0,43.55,43.91,0,1.2707,0.9988,0.0003,0,454.00,SPY240208P00454000,0.01,0,0,0.01,0,1.2322,-0.0012,0.0003,65
Thu Feb 08 2024,SPY240208C00455000,43.06,0,42.55,42.91,0,1.3047,0.9987,0.0003,1,455.00,SPY240208P00455000,0.02,0,0,0.01,0,1.2051,-0.0013,0.0003,183
Thu Feb 08 2024,SPY240208C00456000,36.82,0,41.55,41.91,0,1.2753,0.9987,0.0003,1,456.00,SPY240208P00456000,0.01,0,0,0.01,0,1.1779,-0.0013,0.0003,846
Thu Feb 08 2024,SPY240208C00457000,0,0,40.55,40.91,0,1.2459,0.9986,0.0003,0,457.00,SPY240208P00457000,0.01,0,0,0.01,0,1.1508,-0.0014,0.0003,12154
Thu Feb 08 2024,SPY240208C00458000,39.45,-0.765,39.55,39.91,137,1.2166,0.9986,0.0003,57,458.00,SPY240208P00458000,0.01,-0.005,0,0.01,2,1.1237,-0.0014,0.0003,2685
Thu Feb 08 2024,SPY240208C00459000,0,0,38.55,38.91,0,1.1872,0.9986,0.0003,0,459.00,SPY240208P00459000,0.01,0,0,0.01,0,1.0966,-0.0014,0.0003,744
Thu Feb 08 2024,SPY240208C00460000,37.8,0,37.55,37.91,0,1.1579,0.9985,0.0004,3,460.00,SPY240208P00460000,0.01,0,0,0.01,0,1.0696,-0.0015,0.0004,785
Thu Feb 08 2024,SPY240208C00461000,36.51,-0.705,36.55,36.92,150,1.1286,0.9985,0.0004,4,461.00,SPY240208P00461000,0.01,0,0,0.01,0,1.0425,-0.0015,0.0004,577
Thu Feb 08 2024,SPY240208C00462000,0,0,35.55,35.92,0,1.0994,0.9985,0.0004,0,462.00,SPY240208P00462000,0.01,0,0,0.01,0,1.0154,-0.0015,0.0004,2416
Thu Feb 08 2024,SPY240208C00463000,34.44,0,34.56,34.92,0,1.109,0.9984,0.0004,56,463.00,SPY240208P00463000,0.01,-0.005,0,0.01,2,0.9884,-0.0016,0.0004,18283
Thu Feb 08 2024,SPY240208C00464000,0,0,33.56,33.92,0,1.079,0.9984,0.0004,0,464.00,SPY240208P00464000,0.01,-0.005,0,0.01,1,0.9614,-0.0016,0.0004,2977
Thu Feb 08 2024,SPY240208C00465000,33.49,0,32.55,32.92,0,1.0116,0.9983,0.0005,2,465.00,SPY240208P00465000,0.01,0,0,0.01,0,0.9343,-0.0017,0.0005,1064
Thu Feb 08 2024,SPY240208C00466000,32.05,0,31.55,31.92,0,0.9824,0.9983,0.0005,2,466.00,SPY240208P00466000,0.01,0,0,0.01,0,0.9073,-0.0017,0.0005,837
Thu Feb 08 2024,SPY240208C00467000,31.19,0,30.52,30.92,0,1.1145,0.9982,0.0005,54,467.00,SPY240208P00467000,0.01,0,0,0.01,0,0.8802,-0.0018,0.0005,181
Thu Feb 08 2024,SPY240208C00468000,29.73,0,29.55,29.92,0,0.9239,0.9981,0.0006,75,468.00,SPY240208P00468000,0.01,0,0,0.01,0,0.8532,-0.0019,0.0006,221
Thu Feb 08 2024,SPY240208C00469000,29.04,-0.185,28.55,28.92,10,0.8947,0.9981,0.0006,11,469.00,SPY240208P00469000,0.01,-0.005,0,0.01,13,0.8261,-0.0019,0.0006,384
Thu Feb 08 2024,SPY240208C00470000,28.16,-0.065,27.55,27.92,27,0.8655,0.998,0.0006,105,470.00,SPY240208P00470000,0.01,0,0,0.01,0,0.799,-0.002,0.0006,620
Thu Feb 08 2024,SPY240208C00471000,27.02,-0.205,26.55,26.92,4,0.8362,0.9979,0.0007,9,471.00,SPY240208P00471000,0.01,-0.005,0,0.01,2,0.772,-0.0021,0.0007,236
Thu Feb 08 2024,SPY240208C00472000,26.13,0,25.55,25.92,0,0.807,0.9979,0.0007,7,472.00,SPY240208P00472000,0.01,-0.005,0,0.01,1,0.7448,-0.0021,0.0007,5431
Thu Feb 08 2024,SPY240208C00473000,24.88,-0.345,24.62,24.92,25,0.9161,0.9978,0.0008,73,473.00,SPY240208P00473000,0.01,-0.005,0,0.01,2,0.7177,-0.0022,0.0008,5164
Thu Feb 08 2024,SPY240208C00474000,24.09,0,23.62,23.92,0,0.8829,0.9977,0.0008,17,474.00,SPY240208P00474000,0.01,0,0,0.01,0,0.6906,-0.0023,0.0008,1763
Thu Feb 08 2024,SPY240208C00475000,22.99,-0.225,22.63,22.92,5,0.8615,0.9976,0.0009,12,475.00,SPY240208P00475000,0.01,-0.005,0,0.01,1,0.6634,-0.0024,0.0009,3700
Thu Feb 08 2024,SPY240208C00476000,17.47,0,21.55,21.92,0,0.6898,0.9975,0.001,7,476.00,SPY240208P00476000,0.01,-0.005,0,0.01,12,0.6362,-0.0025,0.001,3674
Thu Feb 08 2024,SPY240208C00477000,21.1,-0.135,20.55,20.92,1,0.6604,0.9974,0.0011,15,477.00,SPY240208P00477000,0.01,-0.005,0,0.01,30,0.6089,-0.0026,0.0011,2739
Thu Feb 08 2024,SPY240208C00478000,20.13,-0.145,19.55,19.92,2,0.631,0.9973,0.0012,192,478.00,SPY240208P00478000,0.01,-0.005,0,0.01,41,0.5816,-0.0027,0.0012,4872
Thu Feb 08 2024,SPY240208C00479000,18.87,-0.35,18.55,18.92,29,0.6015,0.9971,0.0013,41,479.00,SPY240208P00479000,0.02,0,0,0.01,0,0.5543,-0.0029,0.0013,1355
Thu Feb 08 2024,SPY240208C00480000,17.8,-0.475,17.56,17.92,7,0.5962,0.997,0.0014,345,480.00,SPY240208P00480000,0.01,-0.005,0,0.01,12,0.5269,-0.003,0.0014,9611
Thu Feb 08 2024,SPY240208C00481000,16.91,-0.365,16.56,16.92,20,0.5657,0.9968,0.0016,185,481.00,SPY240208P00481000,0.01,-0.005,0,0.01,10,0.4995,-0.0032,0.0016,1129
Thu Feb 08 2024,SPY240208C00482000,16,-0.24,15.63,15.92,2,0.6233,0.9966,0.0017,219,482.00,SPY240208P00482000,0.01,-0.005,0,0.01,49,0.4719,-0.0034,0.0017,4674
Thu Feb 08 2024,SPY240208C00483000,15.05,-0.185,14.69,14.92,16,0.6516,0.9964,0.0019,477,483.00,SPY240208P00483000,0.02,0.005,0,0.01,47,0.4443,-0.0036,0.0019,4792
Thu Feb 08 2024,SPY240208C00484000,13.88,-0.36,13.63,13.93,3,0.562,0.9962,0.0022,391,484.00,SPY240208P00484000,0.01,-0.005,0,0.01,259,0.4166,-0.0038,0.0022,2622
Thu Feb 08 2024,SPY240208C00485000,12.5,-0.725,12.63,12.92,14,0.5267,0.9959,0.0025,1269,485.00,SPY240208P00485000,0.01,-0.005,0,0.01,2702,0.3888,-0.0041,0.0025,3008
Thu Feb 08 2024,SPY240208C00486000,12.06,-0.185,11.57,11.93,3,0.4383,0.9955,0.0029,722,486.00,SPY240208P00486000,0.01,-0.005,0,0.01,1251,0.3609,-0.0045,0.0029,4471
Thu Feb 08 2024,SPY240208C00487000,10.71,-0.52,10.7,10.93,4,0.5048,0.995,0.0034,1611,487.00,SPY240208P00487000,0.01,-0.005,0.01,0.02,556,0.3772,-0.005,0.0034,9908
Thu Feb 08 2024,SPY240208C00488000,9.9,-0.39,9.64,9.93,71,0.4613,0.9943,0.0042,655,488.00,SPY240208P00488000,0.01,-0.015,0.01,0.02,3323,0.3459,-0.0057,0.0042,9365
Thu Feb 08 2024,SPY240208C00489000,9.15,-0.13,8.69,8.93,13,0.4133,0.9933,0.0053,1592,489.00,SPY240208P00489000,0.02,-0.005,0.01,0.02,404,0.3144,-0.0067,0.0053,6421
Thu Feb 08 2024,SPY240208C00490000,7.97,-0.33,7.64,7.94,225,0.3559,0.9915,0.0071,2115,490.00,SPY240208P00490000,0.01,-0.025,0.01,0.02,3921,0.2826,-0.0085,0.0071,7427
Thu Feb 08 2024,SPY240208C00491000,6.93,-0.37,6.66,6.94,194,0.3264,0.9884,0.0102,8659,491.00,SPY240208P00491000,0.02,-0.025,0.01,0.02,4998,0.2504,-0.0116,0.0102,8847
Thu Feb 08 2024,SPY240208C00492000,6.02,-0.285,5.7,5.81,397,0.243,0.9824,0.0158,2160,492.00,SPY240208P00492000,0.02,-0.045,0.01,0.02,8724,0.2178,-0.0176,0.0158,9694
Thu Feb 08 2024,SPY240208C00493000,4.89,-0.45,4.71,4.77,1106,0.1939,0.9709,0.0264,5265,493.00,SPY240208P00493000,0.03,-0.065,0.02,0.03,12575,0.1999,-0.0291,0.0264,12507
Thu Feb 08 2024,SPY240208C00494000,3.81,-0.625,3.74,3.79,610,0.1792,0.9476,0.0463,4845,494.00,SPY240208P00494000,0.05,-0.095,0.04,0.05,30251,0.1828,-0.0524,0.0463,16173
Thu Feb 08 2024,SPY240208C00495000,2.9,-0.63,2.8,2.85,2215,0.1776,0.8994,0.0822,5089,495.00,SPY240208P00495000,0.1,-0.155,0.09,0.1,39527,0.1705,-0.1006,0.0822,17756
Thu Feb 08 2024,SPY240208C00496000,1.95,-0.75,1.93,1.97,7989,0.1672,0.8049,0.1365,6146,496.00,SPY240208P00496000,0.23,-0.185,0.22,0.23,85762,0.1656,-0.1951,0.1365,20450
Thu Feb 08 2024,SPY240208C00497000,1.2,-0.765,1.2,1.21,32890,0.1611,0.6472,0.1913,9910,497.00,SPY240208P00497000,0.47,-0.205,0.47,0.48,191758,0.1598,-0.3528,0.1913,16634
Thu Feb 08 2024,SPY240208C00498000,0.65,-0.7,0.64,0.65,168176,0.1569,0.4443,0.2074,8563,498.00,SPY240208P00498000,0.92,-0.145,0.92,0.93,179347,0.1567,-0.5557,0.2074,10588
Thu Feb 08 2024,SPY240208C00499000,0.32,-0.555,0.31,0.32,136103,0.161,0.2537,0.1678,12047,499.00,SPY240208P00499000,1.59,0,1.58,1.59,18998,0.1583,-0.7463,0.1678,3170
Thu Feb 08 2024,SPY240208C00500000,0.14,-0.385,0.13,0.14,103935,0.1645,0.1241,0.1046,22551,500.00,SPY240208P00500000,2.36,0.11,2.37,2.44,2836,0.1602,-0.8759,0.1046,3472
Thu Feb 08 2024,SPY240208C00502000,0.03,-0.125,0.02,0.03,59151,0.1819,0.0269,0.0282,12898,502.00,SPY240208P00502000,4.25,0.295,4.26,4.33,639,0.1793,-0.9731,0.0282,1219
Thu Feb 08 2024,SPY240208C00504000,0.01,-0.035,0.01,0.02,6478,0.2326,0.0094,0.0095,6317,504.00,SPY240208P00504000,5.83,-0.145,6.07,6.45,59,0,-0.9906,0.0095,22
Thu Feb 08 2024,SPY240208C00505000,0.01,-0.025,0,0.01,3304,0.2309,0.0071,0.0067,10932,505.00,SPY240208P00505000,6.58,-0.415,7.07,7.37,30,0,-0.9929,0.0067,44
Thu Feb 08 2024,SPY240208C00506000,0.01,-0.015,0,0.01,7656,0.2587,0.006,0.0052,845,506.00,SPY240208P00506000,8.17,0,8.07,8.44,0,0,-0.994,0.0052,0
Thu Feb 08 2024,SPY240208C00508000,0.01,-0.005,0,0.01,531,0.3134,0.0048,0.0036,7109,508.00,SPY240208P00508000,10.01,0.065,10.07,10.44,6,0,-0.9952,0.0036,0
Thu Feb 08 2024,SPY240208C00510000,0.01,-0.005,0,0.01,38,0.3669,0.0041,0.0026,7225,510.00,SPY240208P00510000,12.25,0.265,12.07,12.44,1003,0,-0.9959,0.0026,3
Thu Feb 08 2024,SPY240208C00512000,0.01,0.005,0,0.01,2,0.4194,0.0036,0.0021,2418,512.00,SPY240208P00512000,14.88,0,14.06,14.44,0,0,-0.9964,0.0021,25
Thu Feb 08 2024,SPY240208C00514000,0.01,0.005,0,0.01,1,0.4712,0.0032,0.0017,393,514.00,SPY240208P00514000,16.11,0.155,16.06,16.44,2,0,-0.9968,0.0017,0
Thu Feb 08 2024,SPY240208C00515000,0.01,0.005,0,0.01,24,0.4968,0.0031,0.0015,471,515.00,SPY240208P00515000,17.3,0.31,17.06,17.37,2,0,-0.9969,0.0015,1
Thu Feb 08 2024,SPY240208C00516000,0.01,0.005,0,0.01,1,0.5222,0.003,0.0014,302,516.00,SPY240208P00516000,18.39,0,18.06,18.43,0,0,-0.997,0.0014,0
Thu Feb 08 2024,SPY240208C00518000,0.01,0.005,0,0.01,1,0.5726,0.0027,0.0012,35,518.00,SPY240208P00518000,0,0,20.06,20.43,0,0,-0.9973,0.0012,0
Thu Feb 08 2024,SPY240208C00520000,0.01,0.005,0,0.01,1,0.6224,0.0025,0.001,1870,520.00,SPY240208P00520000,0,0,22.06,22.36,0,0,-0.9975,0.001,0
Thu Feb 08 2024,SPY240208C00522000,0,0,0,0.01,0,0.6717,0.0023,0.0009,0,522.00,SPY240208P00522000,0,0,24.06,24.43,0,0,-0.9977,0.0009,0
Thu Feb 08 2024,SPY240208C00524000,0.01,0.005,0,0.01,3,0.7204,0.0022,0.0008,0,524.00,SPY240208P00524000,0,0,26.06,26.43,0,0,-0.9978,0.0008,0
Thu Feb 08 2024,SPY240208C00525000,0.01,0,0,0.01,0,0.7446,0.0021,0.0007,20312,525.00,SPY240208P00525000,0,0,27.06,27.42,0,0,-0.9979,0.0007,0
Thu Feb 08 2024,SPY240208C00530000,0.01,0,0,0.01,0,0.864,0.0018,0.0005,180,530.00,SPY240208P00530000,36.8,0,32.06,32.42,0,0,-0.9982,0.0005,0
Thu Feb 08 2024,SPY240208C00535000,0,0,0,0.01,0,0.9808,0.0016,0.0004,0,535.00,SPY240208P00535000,0,0,37.05,37.42,0,0,-0.9984,0.0004,0
Thu Feb 08 2024,SPY240208C00540000,0.01,0.005,0,0.01,1,1.0953,0.0014,0.0004,3,540.00,SPY240208P00540000,0,0,42.05,42.42,0,0,-0.9986,0.0004,0
Thu Feb 08 2024,SPY240208C00545000,0,0,0,0.01,0,1.2079,0.0013,0.0003,0,545.00,SPY240208P00545000,0,0,47.05,47.4,0,0,-0.9987,0.0003,0
Thu Feb 08 2024,SPY240208C00550000,0,0,0,0.01,0,1.3185,0.0012,0.0002,0,550.00,SPY240208P00550000,0,0,52.11,52.34,0,0,-0.9988,0.0002,0
Thu Feb 08 2024,SPY240208C00555000,0,0,0,0.01,0,1.4273,0.0011,0.0002,0,555.00,SPY240208P00555000,0,0,57.11,57.34,0,0,-0.9989,0.0002,0
Thu Feb 08 2024,SPY240208C00560000,0.01,0.005,0,0.01,1,1.5345,0.001,0.0002,8,560.00,SPY240208P00560000,0,0,62.11,62.34,0,0,-0.999,0.0002,0
Fri Feb 09 2024,SPY240209C00350000,148.1,-0.1,147.63,147.87,1,0,1,0,6,350.00,SPY240209P00350000,0.01,0,0,0.01,0,1.8394,0,0,10511
Fri Feb 09 2024,SPY240209C00355000,0,0,142.57,142.88,0,0,1,0,0,355.00,SPY240209P00355000,0.01,0,0,0.01,0,1.7696,0,0,270
Fri Feb 09 2024,SPY240209C00360000,136.1,0,137.58,137.88,0,0,0.9999,0,2,360.00,SPY240209P00360000,0.01,0,0,0.01,0,1.7007,0,0,963
Fri Feb 09 2024,SPY240209C00365000,105.4,0,132.57,132.88,0,0,0.9999,0,2,365.00,SPY240209P00365000,0.02,0,0,0.01,0,1.6327,0,0,1462
Fri Feb 09 2024,SPY240209C00370000,123.26,0,127.6,127.88,0,0,0.9999,0,5,370.00,SPY240209P00370000,0.01,0,0,0.01,0,1.5654,0,0,171
Fri Feb 09 2024,SPY240209C00375000,118.25,0,122.58,122.89,0,0,0.9999,0,43,375.00,SPY240209P00375000,0.01,0,0,0.01,0,1.4989,-0.0001,0,1130
Fri Feb 09 2024,SPY240209C00380000,117.81,0,117.58,117.88,0,0,0.9999,0,32,380.00,SPY240209P00380000,0.01,0,0,0.01,0,1.4332,-0.0001,0,652
Fri Feb 09 2024,SPY240209C00385000,113.27,0,112.58,112.9,0,0,0.9999,0,1,385.00,SPY240209P00385000,0.02,0,0,0.01,0,1.3681,-0.0001,0,9541
Fri Feb 09 2024,SPY240209C00390000,89.1,0,107.61,107.89,0,0,0.9998,0,1,390.00,SPY240209P00390000,0.01,0,0,0.01,0,1.3038,-0.0001,0,743
Fri Feb 09 2024,SPY240209C00395000,102.15,0,102.65,102.89,0,0,0.9998,0,4,395.00,SPY240209P00395000,0.01,0,0,0.01,0,1.2401,-0.0001,0,70758
Fri Feb 09 2024,SPY240209C00400000,98.22,0,97.63,97.9,0,0,0.9998,0,6,400.00,SPY240209P00400000,0.01,0,0,0.01,0,1.177,-0.0002,0,1299
Fri Feb 09 2024,SPY240209C00405000,91.1,0,92.6,92.91,0,0,0.9998,0,3,405.00,SPY240209P00405000,0.03,0,0,0.01,0,1.1146,-0.0002,0,1154
Fri Feb 09 2024,SPY240209C00410000,61.47,0,87.6,87.9,0,0,0.9997,0,2,410.00,SPY240209P00410000,0.01,0,0,0.01,0,1.0527,-0.0003,0,141534
Fri Feb 09 2024,SPY240209C00415000,72.85,0,82.64,82.91,0,0,0.9996,0,214,415.00,SPY240209P00415000,0.01,0.005,0,0.01,1,0.9914,-0.0003,0,1002
Fri Feb 09 2024,SPY240209C00417000,0,0,80.63,80.91,0,0,0.9996,0,0,417.00,SPY240209P00417000,0.01,0,0,0.01,0,0.967,-0.0004,0,63
Fri Feb 09 2024,SPY240209C00418000,0,0,79.61,79.92,0,0,0.9996,0,0,418.00,SPY240209P00418000,0.01,0,0,0.01,0,0.9548,-0.0004,0,28
Fri Feb 09 2024,SPY240209C00419000,0,0,78.61,78.92,0,0,0.9996,0,0,419.00,SPY240209P00419000,0.01,0,0,0.01,0,0.9427,-0.0004,0,509
Fri Feb 09 2024,SPY240209C00420000,77.96,-0.28,77.61,77.92,1,0,0.9996,0.0001,20,420.00,SPY240209P00420000,0.01,0,0,0.01,0,0.9306,-0.0004,0.0001,1207
Fri Feb 09 2024,SPY240209C00421000,0,0,76.61,76.92,0,0,0.9996,0.0001,0,421.00,SPY240209P00421000,0.02,0,0,0.01,0,0.9184,-0.0004,0.0001,97
Fri Feb 09 2024,SPY240209C00422000,0,0,75.61,75.91,0,0,0.9995,0.0001,0,422.00,SPY240209P00422000,0.03,0,0,0.01,0,0.9064,-0.0004,0.0001,267
Fri Feb 09 2024,SPY240209C00423000,0,0,74.61,74.91,0,0,0.9995,0.0001,0,423.00,SPY240209P00423000,0.01,0,0,0.01,0,0.8943,-0.0004,0.0001,34
Fri Feb 09 2024,SPY240209C00424000,74.19,0,73.61,73.91,0,0,0.9995,0.0001,7,424.00,SPY240209P00424000,0.07,0,0,0.01,0,0.8823,-0.0005,0.0001,63
Fri Feb 09 2024,SPY240209C00425000,70.97,0,72.61,72.91,0,0,0.9995,0.0001,18,425.00,SPY240209P00425000,0.01,0,0,0.01,0,0.8702,-0.0005,0.0001,72318
Fri Feb 09 2024,SPY240209C00426000,0,0,71.61,71.93,0,0,0.9995,0.0001,0,426.00,SPY240209P00426000,0.02,0,0,0.01,0,0.8582,-0.0005,0.0001,3
Fri Feb 09 2024,SPY240209C00427000,0,0,70.61,70.93,0,0,0.9994,0.0001,0,427.00,SPY240209P00427000,0.02,0,0,0.01,0,0.8462,-0.0005,0.0001,2
Fri Feb 09 2024,SPY240209C00428000,0,0,69.61,69.93,0,0,0.9994,0.0001,0,428.00,SPY240209P00428000,0.03,0,0,0.01,0,0.8343,-0.0005,0.0001,105
Fri Feb 09 2024,SPY240209C00429000,69.09,-0.16,68.65,68.92,2,0.7578,0.9994,0.0001,0,429.00,SPY240209P00429000,0.01,0,0,0.01,0,0.8223,-0.0006,0.0001,1897
Fri Feb 09 2024,SPY240209C00430000,67.93,-0.32,67.64,67.92,1,0,0.9994,0.0001,14,430.00,SPY240209P00430000,0.02,0,0,0.01,0,0.8104,-0.0006,0.0001,9341
Fri Feb 09 2024,SPY240209C00431000,0,0,66.62,66.92,0,0,0.9994,0.0001,0,431.00,SPY240209P00431000,0.02,0,0,0.01,0,0.7985,-0.0006,0.0001,118
Fri Feb 09 2024,SPY240209C00432000,0,0,65.62,65.93,0,0,0.9993,0.0001,0,432.00,SPY240209P00432000,0.01,0,0,0.01,0,0.7866,-0.0006,0.0001,501
